vendor,score
Elisa Johnson,0.9963947133759493
Diptyque,0.9592141630784782
Kith Treats,0.9554052915887403
RIZZOLI,0.9349834550369471
Justine Clenquet,0.9237289206893657
Heaven Mayhem,0.9188072972847994
Shashi,0.8809772598193077
BORNTOSTANDOUT,0.880055127454492
Flatlist,0.8790747937018418
Assouline,0.8768067227418344
Edie Parker,0.8605135455444076
PERFUMER H,0.8586055012320661
Noodoll,0.8574277320552172
Crystal Haze,0.827736288413537
19-69,0.8220140959991465
L'OBJET,0.813946423248351
Emm Kuo,0.811044425959713
TASCHEN,0.8093745353062016
Bond Eye,0.8005084703306228
ABEL,0.795762807938055
Bottega Veneta,0.7901278965003555
Allbirds,0.7857665598515025
Taith,0.7783449385212576
Saint Laurent,0.7760741516247155
G-SHOCK,0.7560650278613308
Kith Kids,0.7543408208490312
Ray Ban,0.7532013560781068
Margin,0.7326744083808308
Kimeze,0.7289703129958638
MAISON D'ETTO,0.7257215658194919
Garrett Leight,0.7195989982854818
St. Agni,0.71029131132762
Gucci,0.70708620411669
Ripple⁺ Home,0.6936473204198681
CDG Pocket,0.6837201461180366
Cartier,0.6832766280398874
Kith,0.6816543485394503
Kith Baby,0.6118865212757959
Tekla,0.6116766861099368
Norma Kamali,0.6061631397871288
Camper,0.5940723660798433
Eliou,0.5902809483245632
Abrams,0.5888500458725122
Moon Boot,0.5611357066409851
Faris,0.5383543172617528
adidas x Entire Studios,0.5289579820589937
Emanuele Bicocchi,0.498113036947913
Gymshark | Be a visionary.,0.49539870220134946
Balenciaga,0.48336369301607546
What Goes Around Comes Around,0.48075802102582793
Jordan,0.47625408851407736
ColourPop,0.4760704322749766
by Parra,0.46584438906455716
Vivienne Westwood,0.4634311681081449
The North Face x Sky High Farms,0.46076069977018536
Puma,0.4516663641318386
SOL Body,0.4495208725238044
Frankies Bikinis,0.4242880038128708
VANS,0.4181287206319516
Daily Paper,0.40775070820081927
Nike,0.40609707577843435
Brain Dead,0.3990235158224277
adidas,0.3944871530590319
PUMA,0.37633274478070833
The North Face,0.37575877429136045
Metalwood,0.372118538292558
MOLO,0.3630037481160577
NikeSKIMS,0.3622839275173057
Cotton Citizen,0.36218908181198317
Kith Women,0.36193939664005703
Reebok,0.3602955527073799
Fourth Ray Beauty,0.3555115952742368
New Balance,0.3521043356520534
Alexander Wang,0.34056173283712965
Timberland,0.340168353593092
TROPIC OF C,0.33636997306912586
Converse,0.3350243473824694
Rhude,0.33423294147722693
Agolde,0.33379082457153786
Onitsuka Tiger,0.33213397060350314
Sandy Liang,0.3308231967296847
Crocs,0.32698894231656556
Melissa,0.32514853994007165
Salomon,0.32319933408580676
Mizuno,0.3213002527091285
Maharishi,0.3212373878699637
Keen,0.3172334808388683
Kiko Kostadinov,0.31211080355319376
ASICS,0.31178423694298285
UGG,0.30981413121151946
The Line by K,0.3059156452773497
Peachy Den,0.3034950050174042
Essentials,0.29672540352417487
Black Suede Studio,0.2954139300918547
Stepney Workers Club,0.2946872523608247
Gramicci,0.2920483040090547
Saucony,0.28833478308965116
ReDone,0.28549893536674903
Jade,0.2809262082767049
HOKA,0.2789530407004951
Levi's,0.27123865658846436
On Running,0.26984851622499867
Oakley,0.267527395475995
Diesel,0.26447237191653433
Acne Studios,0.2602306123745202
Merrell,0.2593253535598338
SIR,0.2588110867361863
Clarks,0.2587400013069478
Jean Paul Gaultier,0.256350297125224
GUIZIO,0.2541014119128641
Birkenstock,0.24784957492348833
Hyein Seo,0.24700585473751446
Auralee,0.2453281159577143
Engineered Garments,0.24504709795451962
Dr. Martens,0.24433983670976162
Arc'teryx,0.24259392422490533
Awake NY,0.23918643450266672
Ksubi,0.23510879939391263
EB Denim,0.23396233412700487
Vibram,0.23195924825416295
Satisfy,0.22809995394158664
BELLE ANNA,0.21508726286748903
Ader Error,0.2139436772583004
Chamula,0.21297578651178806
Lemaire,0.20714024649238338
Tabi,0.19997278212599093
Martine Rose,0.19914052939379087
Adish,0.1990847931696127
Fleur du Mal,0.19475672867621746
HANWAG,0.19463100899889407
Our Legacy,0.19188898734701418
Belle Anna,0.18667207505337088
C.P. Company,0.18613964223333526
Femme LA,0.1810874655081553
Spinelli Kilcollin,0.17948832814245808
vowels,0.17066111972608702
Asta Resort,0.1682782898622201
Entire Studios,0.16632353603512465
Fear Of God,0.16550135268542546
Stone Island,0.16459320053212156
Casablanca,0.163860120646772
Miaou,0.16030463176741064
Isa Boulder,0.15243368226279677
Siedres,0.1513306780469784
Adrian Cashmere,0.14545524152228617
NAHMIAS,0.13897390201027177
Studio Nicholson,0.1342043201974464
A.P.C.,0.1321327528693416
The Attico,0.12711819084289197
Kim Shui,0.12336971192975096
Rick Owens,0.12109559505878763
R13,0.11370322832587584
MM6 Maison Margiela,0.11292230385787262
Repetto,0.11218073900097923
Ottolinger,0.11127665766668922
Venuja,0.11106580983198645
Suicoke,0.11074099915813873
Candylab,0.10941564018771156
Fear of God,0.10816077068428152
ROA,0.10782497648118891
SATISFY,0.10713441871265486
Christopher Esber,0.10637735425417572
Haikure,0.09246043109100538
ERL,0.08739790666247571
norda,0.08667951129136192
Oseree,0.08364249172744373
Jil Sander,0.08112226306418883
Azeeza,0.07495579757401558
Buci,0.07435414343807252
Willy Chavarria,0.07309487909941129
Junya Watanabe MAN,0.06494312446764136
Collegium,0.06366041803307425
Ranra,0.062191217050131586
Norda,0.05919822948980543
Paraboot,0.057621636622903455
Coperni,0.041754019874145
CDG Homme,0.0324779980748321
Common Projects,0.03178843892314077
Maison Margiela,0.030162471257789876
Tae Park,0.027847157427941548
Shoes Master,0.025337145913800305
Missoni,0.01178208032615865
Paris Texas,0.011713378727759634
Aya Muse,0.0008678678449579371
Marni,-0.03300006768002394
